CLUTCH_NUMBER,DATE_OF_HATCH,DATE_SAMPLED,MALE,FEMALE,REGION,POPULATION,TEMPERATURE,TANK,LEVEL,REPLICATE,CLUTCH_ORDER,PARENTAL_DAYS_IN_TREATMENT,AGE,AGE_DAYS,SAMPLE_NO,LENGTH,MASS,NOTES
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,1,29.09,0.7573,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,2,27.99,0.6730,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,3,27.56,0.5898,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,4,24.65,0.4541,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,5,25.90,0.5383,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,6,27.00,0.6272,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,7,27.36,0.6326,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,8,23.54,0.3779,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,9,28.22,0.7214,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,10,23.55,0.3823,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,11,29.82,0.8366,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,12,22.71,0.3231,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,13,26.21,0.5532,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,14,27.61,0.6357,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,15,28.55,0.6938,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,16,26.54,0.5456,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,17,28.58,0.6697,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,18,31.70,1.0014,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,19,27.58,0.6359,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,20,23.03,0.3366,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,21,28.01,0.6361,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,22,25.38,0.4910,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,23,28.36,0.6384,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,24,24.87,0.4550,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,25,24.65,0.4355,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,26,27.60,0.6334,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,27,27.11,0.6148,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,28,24.20,0.3942,
38,27/12/2022,14/03/2023,CPRE372,CPRE209,core,Pretty Patches,27,100,1,1,1,29,2.5-month,77,29,23.30,0.3437,
40,25/12/2022,13/03/2023,CARL237,CARL219,core,Arlington Reef,27,100,1,1,1,29,2.5-month,78,1,,0.5390,
