CLUTCH_NUMBER,DATE_OF_HATCH,DATE_SAMPLED,MALE,FEMALE,REGION,POPULATION,TEMPERATURE,TANK,LEVEL,REPLICATE,CLUTCH_ORDER,PARENTAL_DAYS_IN_TREATMENT,AGE,SAMPLE_NO,LENGTH,MASS,NOTES
62,23/01/2023,24/03/1995,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,30,13.76,0.0747,
62,23/01/2023,24/03/1996,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,29,17.24,0.1640,
62,23/01/2023,24/03/1997,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,28,15.62,0.1116,
62,23/01/2023,24/03/1998,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,27,16.87,0.1441,
62,23/01/2023,24/03/1999,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,26,19.71,0.2491,
62,23/01/2023,24/03/2000,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,25,19.30,0.2232,
62,23/01/2023,24/03/2001,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,24,19.55,0.2266,
62,23/01/2023,24/03/2002,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,23,20.45,0.2878,
62,23/01/2023,24/03/2003,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,22,19.97,0.1862,
62,23/01/2023,24/03/2004,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,21,19.22,0.2354,
62,23/01/2023,24/03/2005,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,20,20.34,0.2583,
62,23/01/2023,24/03/2006,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,19,22.17,0.3401,
62,23/01/2023,24/03/2007,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,18,21.20,0.3218,
62,23/01/2023,24/03/2008,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,17,20.79,0.2874,
62,23/01/2023,24/03/2009,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,16,17.98,0.1679,
62,23/01/2023,24/03/2010,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,15,20.53,0.2634,
62,23/01/2023,24/03/2011,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,14,21.12,0.3046,
62,23/01/2023,24/03/2012,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,13,19.45,0.2140,
62,23/01/2023,24/03/2013,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,12,19.16,0.2234,
62,23/01/2023,24/03/2014,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,11,20.57,0.2738,
62,23/01/2023,24/03/2015,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,10,21.43,0.3099,
62,23/01/2023,24/03/2016,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,9,21.58,0.3336,
62,23/01/2023,24/03/2017,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,8,15.92,0.1090,
62,23/01/2023,24/03/2018,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,7,21.62,0.3237,
62,23/01/2023,24/03/2019,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,6,21.84,0.3634,
62,23/01/2023,24/03/2020,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,5,22.53,0.3680,
62,23/01/2023,24/03/2021,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,4,19.75,0.2415,
62,23/01/2023,24/03/2022,CVLA049,CVLA098,core,Vlassof Cay,28.5,311,3,2,4,56,2-month,3,23.87,0.4808,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,1,17.38,0.1329,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,2,18.50,0.1593,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,3,20.06,0.2190,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,4,19.78,0.2191,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,5,17.75,0.1480,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,6,13.79,0.0587,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,7,13.26,0.0543,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,8,15.94,0.1033,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,9,15.61,0.0905,
40,25/12/2022,26/02/2023,CARL237,CARL219,core,Arlington Reef,27,300,3,3,1,29,2-month,10,19.62,0.1984,
