CLUTCH_NUMBER,DATA_EGGS_FOUND,COLOR,MALE,FEMALE,REGION,POPULATION,TEMPERATURE,TANK,ROOM,CLUTCH_ORDER,DAYS_IN_TREATMENT,DATE_EGGS_LAST_CHECKED,SAMPLE,YOLK_SAC,IMAGE,NOTES
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,1,NA,9965,unidentifiable
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,2,0.016,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,3,0.009,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,4,0.010,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,5,0.009,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,6,0.009,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,7,0.010,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,8,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,9,0.006,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,10,0.007,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,11,0.009,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,12,0.007,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,13,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,14,0.010,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,15,0.009,9965,
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,16,NA,9965,disfigured
38,16/12/2022,white,CPRE372,CPRE209,core,Pretty Patches,27,168,3,1,29,NA,17,NA,9965,disfigured
