FISH_ID,SEX,TANK,SL,MASS,fin_clip1,fin_clip2
CARL215,F,108,99.12,52.02,x,x
CARL217,M,144,78.4,23.15,x,x
CARL218,M,109,93.41,41.41,,
CARL219,F,247,86.5,31.03,x,x
CARL222,F,109,94.34,38.92,x,x
CARL226,F,144,72.47,16.28,x,x
CARL230,M,253,86.84,32.4,x,x
CARL233,M,108,88.62,35.52,x,x
CARL235,F,253,85.8,31.36,x,x
CARL237,M,247,91.5,36.7,x,x
CARL239,F,150,,,,
CARL241,M,150,97.4,45.17,x,x
CARL242,M,232,89.44,32.68,x,x
CARL245,F,232,86.3,29.7,x,x
CARL249,M,166,82.8,27.63,x,x
CARL335,M,238,93.52,40,x,x
CARL338,M,106,91.6,24.19,x,x
CARL344,M,112,80.34,23.91,x,x
CARL345,F,106,82.28,27.2,x,x
CARL349,F,216,80.88,24.9,x,x
CARL354,M,124,87.22,31.58,x,x
CARL355,F,124,84.76,29.85,x,x
CARL359,F,238,92.04,38.73,x,x
CARL360,F,166,87.08,29.75,x,x
CARL363,F,132,78.86,24.29,x,x
CARL367,M,132,94.12,42.43,x,x
CARL369,M,216,89.42,36.74,x,x
CARL370,F,112,83.54,29.23,x,x
COTT399,F,15,84.12,26.51,x,x
COTT407,M,15,88.1,34.49,x,x
COYS273,M,122,101,52.57,x,x
CPRE/CSUD198,M,50,103.84,50.7,x,x
CPRE189,M,208,98.74,57.31,x,x
CPRE202,F,208,99.6,47.19,x,x
CPRE208,F,14,108.42,62.4,x,x
CPRE209,F,168,102.4,52.7,x,x
CPRE372,M,168,102.3,58.01,x,x
CPRE373,F,50,103.5,59.23,x,x
CPRE375,M,268,101.42,55.75,x,x
CPRE377,F,268,102.52,54.28,x,x
CPRE390,F,204,89.12,36.19,x,x
CPRE391,M,204,84.13,25,x,x
CPRE447,M,103,101.1,49.82,x,x
CPRE452,F,103,101.22,49.27,x,x
CPRE453,M,32,94.8,45.82,x,x
CPRE459,F,32,99.72,53.26,x,x
CPRE512,M,14,103.62,61.46,x,x
CPRE521,M,31,93.74,40.78,x,x
CPRE524,F,31,96.08,44.85,x,x
CPRE526,F,30,101.74,49.54,x,x
CPRE533,F,53,99.44,47.85,x,x
CPRE544,M,113,94.26,41.63,x,x
CPRE550,M,53,96.02,45.56,x,x
CPRE555,M,66,98.56,45.96,x,x
CPRE558,M,30,99.1,49.59,x,x
CSAT256,F,56,93.24,35.77,x,x
CSAT264,F,37,104.1,54.34,x,x
CSAT265,M,37,102.28,78.84,x,x
CSAT269,M,56,97.28,46,x,x
CSUD002,M,65,100,48.28,x,x
CSUD009,M,137,103,50.94,x,x
CSUD013,M,271,98.82,52.14,x,x
CSUD016,M,230,97.12,45.99,x,x
CSUD017,F,271,103.54,58.3,x,x
CSUD078,F,101,96.58,43.93,x,x
CSUD212,F,172,103.8,49.03,x,x
CSUD213,F,65,93.92,45.25,x,x
CSUD304,F,161,94.94,40.02,x,x
CSUD306,F,255,93.82,42.83,x,x
CSUD310,M,255,95.42,47.19,x,x
CSUD312,M,161,93.03,39.23,x,x
CSAT253,F,66,97.24,44.87,x,x
CVLA044,F,212,94.02,40.91,x,x
CVLA049,M,137,90,36.79,x,x
CVLA059,F,158,98.68,51.72,x,x
CVLA089,M,158,97.02,43.08,x,x
CVLA091,F,105,98.46,48.79,,
CVLA098,F,137,96.32,46.73,,
CVLA102,M,149,103.68,55.39,x,x
CVLA106,M,105,91.88,36.33,x,x
CVLA463,F,270,100.6,50.63,x,x
CVLA466,F,149,104.42,59.93,x,x
CVLA468,M,121,100.88,54.19,x,x
CVLA477,F,121,97.44,49.68,x,x
CVLA485,F,113,94.9,42.78,x,x
CVLA486,M,270,95.2,46.4,x,x
CVLA493,F,264,91.72,43.07,x,x
CVLA498,M,264,86.58,33.33,x,x
LCHA118,F,235,87.66,38.67,x,x
LCHA120,F,244,90.92,36.71,x,x
LCKM155,F,237,86.58,30.34,x,x
LCKM156,F,242,88.02,36.71,x,x
LCKM159,M,237,87.56,30.55,x,x
LCKM164,M,242,102.82,54.16,x,x
LCKM188,M,,73.24,,x,x
LSBI023,M,235,90.2,34.53,x,x
LSBI027,F,233,91.51,,x,x
LSBI028,M,,90,33.61,x,x
LSBI030,F,136,89.12,36.67,x,x
LSBI034,M,244,85.1,28.44,x,x
LSBI042,M,237,87.1,32.62,x,x
