Clutch,Replicate,Male,Female,Population,Tank,Mass,Dry_mass,Chamber,System,Volume,Date_tested,Date_analysed,Swim,Salinity,Temperature,Resting_kg_wet,Resting,rsqrest,Max_kg_wet,Max,rsqmax,AAS_kg_wet,AAS,Notes,True_resting
56,4,CARL217,CARL226,Arlington reef,111,0.0002766,0.0002303,ch1,Dell,0.04672,28/03/2023,19901,good/good,36,28.5,491.7702173,0.136023642,0.992,867.3975756,0.239922169,0.986097477,375.6273583,0.103898527,"Fish deceased, resting may not be reliable",Y
56,5,CARL217,CARL226,Arlington reef,111,0.0005073,0.0004734,ch4,Asus,0.05068,28/03/2023,19901,good/good,36,28.5,489.5918779,0.24836996,0.9828,1332.107726,0.675778249,0.993872435,842.5158476,0.42740829,NA,Y
56,2,CARL217,CARL226,Arlington reef,111,0.0005114,0.0004852,ch3,Dell,0.04999,28/03/2023,19901,good/good,36,28.5,309.773868,0.158418356,0.9838,992.930494,0.507784655,0.990549453,683.156626,0.349366299,NA,Y
56,6,CARL217,CARL226,Arlington reef,111,0.0005597,0.0005164,ch3,Asus,0.04873,28/03/2023,19901,good/good,36,28.5,398.1903168,0.22286712,0.9932,1253.398154,0.701526947,0.991520553,855.2078376,0.478659827,NA,Y
56,3,CARL217,CARL226,Arlington reef,111,0.0005754,0.000556,ch2,Dell,0.04615,28/03/2023,19901,good/good,36,28.5,436.1206144,0.250943802,0.9948,711.8192469,0.409580795,0.9927059,275.6986326,0.158636993,NA,Y
56,8,CARL217,CARL226,Arlington reef,111,0.000579,0.000557,ch1,Asus,0.04565,28/03/2023,19901,good/good,36,28.5,447.1276859,0.25888693,0.9946,977.4653883,0.56595246,0.994972375,530.3377023,0.30706553,NA,Y
56,7,CARL217,CARL226,Arlington reef,111,0.0006566,0.0006142,ch2,Asus,0.04958,28/03/2023,19901,good/good,36,28.5,490.8459852,0.322289474,0.9944,915.8585549,0.601352727,0.992384418,425.0125697,0.279063253,NA,Y
56,1,CARL217,CARL226,Arlington reef,111,0.0006732,0.0006528,ch4,Dell,0.04882,28/03/2023,19901,good/good,36,28.5,320.7091981,0.215901432,0.9912,820.0380242,0.552049598,0.998466467,499.328826,0.336148166,NA,Y
68,6,CARL218,CARL222,Arlington reef,163,0.0004899,0.0004204,ch3,Asus,0.04873,13/04/2023,19900,good/good,36,30,229.2970767,0.112332638,0.982,1014.470444,0.49698907,0.983735622,785.1733671,0.384656433,NA,Y
68,4,CARL218,CARL222,Arlington reef,163,0.000397,0.0003481,ch1,Dell,0.0465,13/04/2023,19900,good/good,36,30,426.24933,0.169220984,0.9962,1273.542475,0.505596363,0.995988459,847.2931451,0.336375379,NA,Y
51,6,CARL218,CARL222,Arlington reef,172,0.0003857,0.0003583,ch3,Asus,0.04873,22/03/2023,19901,good/good,36,30,410.4116894,0.158295789,0.9878,1183.103122,0.456322874,0.992473493,772.6914326,0.298027086,check,Y
68,1,CARL218,CARL222,Arlington reef,163,0.0004418,0.000428,ch4,Dell,0.0486,13/04/2023,19900,good/good,36,30,391.1621977,0.172815459,0.98,1278.406889,0.564800164,0.997880109,887.2446917,0.391984705,NA,Y
51,4,CARL218,CARL222,Arlington reef,172,0.0004564,0.0004348,ch1,Dell,0.04672,22/03/2023,19901,good/good,36,30,614.6406201,0.280521979,0.9946,1498.207826,0.683782052,0.998514507,883.5672061,0.403260073,NA,Y
68,7,CARL218,CARL222,Arlington reef,163,0.000558,0.0005138,ch2,Asus,0.04958,13/04/2023,19900,good/good,36,30,482.5024696,0.269236378,0.9942,1124.559474,0.627504186,0.994554318,642.0570041,0.358267808,NA,Y
51,3,CARL218,CARL222,Arlington reef,172,0.0005977,0.0005142,ch2,Dell,0.04615,22/03/2023,19901,good/good,36,30,324.3434056,0.193860054,0.9874,1224.667903,0.731984006,0.983941259,900.3244972,0.538123952,NA,Y
51,8,CARL218,CARL222,Arlington reef,172,0.0005622,0.0005225,ch1,Asus,0.04565,22/03/2023,19901,good/good,36,30,265.4504678,0.149236253,0.9706,978.1695432,0.549926917,0.991425271,712.7190754,0.400690664,NA,Y
51,7,CARL218,CARL222,Arlington reef,172,0.0005997,0.0005526,ch2,Asus,0.04958,22/03/2023,19901,good/good,36,30,482.2599895,0.289211316,0.9852,930.636392,0.558102644,0.993999108,448.3764025,0.268891329,NA,Y
51,2,CARL218,CARL222,Arlington reef,172,0.0006316,0.000574,ch3,Dell,0.04999,22/03/2023,19901,good/good,36,30,310.5384766,0.196136102,0.9924,969.2079365,0.612151733,0.997667834,658.6694599,0.416015631,check max; second cycle used for max,Y
51,5,CARL218,CARL222,Arlington reef,172,0.0006274,0.0005775,ch4,Asus,0.05068,22/03/2023,19901,good/good,36,30,423.5004158,0.265704161,0.9906,1114.257198,0.699084966,0.992082049,690.7567823,0.433380805,NA,Y
68,3,CARL218,CARL222,Arlington reef,163,0.0006633,0.0005805,ch2,Dell,0.04593,13/04/2023,19900,good/good,36,30,358.7452899,0.237955751,0.992,1194.431347,0.792266312,0.996159636,835.6860571,0.554310562,NA,Y
51,1,CARL218,CARL222,Arlington reef,172,0.0006339,0.0005821,ch4,Dell,0.04882,22/03/2023,19901,good/good,36,30,333.7767484,0.211581081,0.9892,1050.379592,0.665835623,0.996658961,716.6028433,0.454254542,NA,Y
122,3,CARL230,CARL235,Arlington reef,117,0.0004081,0.0003959,ch2,Dell_7440,0.04593,17/06/2023,19882,good/good,35,27,413.1738448,0.168616246,0.9886,898.9886953,0.366877287,0.97488189,485.8148505,0.19826104,poor signal and small fish,Y
